Column1,_id,ltable_id,rtable_id,ltable_title,ltable_artist_name,ltable_year,rtable_title,rtable_year,rtable_episode,rtable_song,rtable_artists,gold
2067,2067,773858,141345,Untouched [Live] (Album Version),The Veronicas,2009,Loose Women,1999,(#13.212),Untouched,toby gad jessica origliasso lisa origliasso the veronicas,1
2071,2071,774123,301018,Turning Japanese,The Vapors,1979,Top of the Pops,1964,(1980-03-20),Turning Japanese,the vapors,1
2082,2082,779617,545097,May The Bird Of Paradise Fly Up Your Nose,Little' Jimmy Dickens,1993,More American Graffiti,1979,,May the Bird of Paradise Fly Up Your Nose,neal merritt little jimmy dickens,1
2091,2091,784641,188716,Things Can Only Get Better,Howard Jones,0,Psych,2006,Pilot (#1.1),Things Can Only Get Better,howard jones,1
2094,2094,784896,459461,Pressure Drop,Toots & The Maytals,1975,Grosse Pointe Blank,1997,,Pressure Drop,toots hibbert the specials,1
2108,2108,786486,562489,Live Forever,Oasis,0,Oasis: Live from Manchester,2007,,Live Forever,noel gallagher oasis,1
2111,2111,787479,428971,Never Missed You More,Joe D'Urso & Stone Caravan,0,Elmopalooza!,1998,,Nearly Missed,joe raposo rosie odonnell,1
2112,2112,787535,636963,Black,Sevendust,1997,Swimfan,2002,,Black,sevendust,1
2115,2115,789110,469489,Last Train To Clarksville (Municipal Auditorium_ Mobile_ AL.) (Live 8/12/67),The Monkees,0,Hey  Hey  Its the Monkees,1997,,Last Train to Clarksville,the monkees,1
2119,2119,791460,49263,Love Will Tear Us Apart,Joy Division,1980,CopStories,2013,KopfschÌÄÕ_ssler (#1.9),Love Will Tear Us Apart,joy division,1
2120,2120,791460,79092,Love Will Tear Us Apart,Joy Division,1980,EastEnders,1985,(2011-04-12),Love Will Tear Us Apart,ian curtis peter hook stephen morris bernard sumner joy division,1
2143,2143,796456,659158,(Let Me Up) I've Had Enough (Album Version),Kenny Wayne Shepherd Band,1995,The Fan,1996,, (LET ME UP) IVE HAD ENOUGH,kenny wayne shepherd mark selby joe nadeau arrangement with warner special products,1
2155,2155,800625,196743,Fiilaten ja hÌÎå_ylÌÎ_ten,Rauli Badding Somerjoki,1992,Rock Suomi,2010,Amerikan ÌÄÕ_ÌÄÕ_ni (#1.4),Fiilaten ja hÌÄÕÌâå_ylÌÄÕ_ten (Reeling and Rocking),chuck berry rauli somerjoki,1
2159,2159,801764,50688,The Wild One,Suzi Quatro,1974,Countdown,1974,(#1.6),The Wild One,nicky chinn mike chapman suzi quatro,1
2164,2164,805034,396041,When I Paint My Masterpiece (Live) (2001 Digital Remaster),The Band With Bob Dylan,0,Comedian,2002,,When I Paint My Masterpiece,bob dylan the band,1
2176,2176,809503,30783,Happiest Girl In the Whole USA,Donna Fargo,1995,Big Love,2006,The Happiest Girl (#2.10),The Happiest Girl in the Whole USA,donna fargo daveigh chase,1
2181,2181,809980,670178,Life On Mars? (Live At The Manhattan Center_ New York),David Bowie,2009,The Life Aquatic with Steve Zissou,2004,,Life on Mars,david bowie,1
2187,2187,813177,173243,I Don't Want To Be,Gavin DeGraw,2003,One Tree Hill,2003,Let the Reigns Go Loose (#2.7),I Dont Want To Be,gavin degraw,1
2188,2188,813842,195130,Hey Jealousy,Gin Blossoms,1989,Reunion,2005,1993 (#1.8),Hey Jealousy,the gin blossoms,1
2189,2189,814118,487563,The Trail Of The Lonesome Pine,Laurel & Hardy,2000,It Came from Somewhere Else,1988,,Trail of the Lonesome Pine,harry carroll lyrics by ballard macdonald stan laurel oliver hardy,1
2208,2208,818840,499349,The Greatest Gift Of All,Dolly Parton & Kenny Rogers,0,Kenny & Dolly: A Christmas to Remember,1984,,The Greatest Gift of All,john jarvis kenny rogers dolly parton,1
2215,2215,820726,161171,Velocity Girl (Alt. Mix),Primal Scream,0,Music for Misfits: The Story of Indie,2015,Into the Mainstream (#1.3),Velocity Girl,bobby gillespie primal scream,1
2216,2216,821167,135728,Wild Night,Van Morrison,1971,Late Show with David Letterman,1993,(#19.31),Wild Night,van morrison the cbs orchestra,1
2231,2231,825701,250057,(Sittin' On) The Dock Of The Bay,Otis Redding,1968,The Johnny Cash Show,1969,(#1.8),(Sittin on) The Dock of the Bay,otis redding steve cropper o.c. smith,1
2234,2234,827478,651324,Bad To Me,Billy J. Kramer,1991,The British Invasion Returns,2000,,Bad To Me,john lennon paul mccartney billy j. kramer,1
2235,2235,828641,663746,Emma (Remastered),Sisters Of Mercy,0,The Guest,2014,,Emma,errol brown tony wilson the sisters of mercy arrangement with,1
2237,2237,829280,257082,You Are The Sunshine Of My Life,Stevie Wonder,1972,The Muppets.,2015,Because... Love (#1.16),You Are the Sunshine of My Life,stevie wonder jack white,1
2242,2242,830930,160679,Maple Leaf Rag,Scott Joplin,1971,Murdoch Mysteries,2008,Murdoch in Ragtime (#7.10),Maple Leaf Rag,scott joplin jazz band,1
2275,2275,842597,226175,This Ain't A Love Song,Bon Jovi,1995,Stars in Their Eyes,1990,(#8.6),This Aint a Love Song,jon bon jovi richie sambora desmond child david burrows,1
2276,2276,842801,69701,Blood Theme,Daniel Licht,2007,Dexter,2006,Scar Tissue (#8.4),Blood Theme,daniel licht,1
2300,2300,851477,193812,Stuck In The Middle With You,Stealers Wheel,1973,Red Band Society,2014,Pilot (#1.1),Stuck in the Middle With You,gerry rafferty joe egan stealers wheel,1
2330,2330,863205,79106,We Are Family,Sister Sledge,1979,EastEnders,1985,(2011-05-05),We Are Family,bernard edwards nile rodgers sister sledge,1
2334,2334,863493,448360,The Mountain (Album Version),DevilDriver,2003,Galerians: Rion,2004,,The Mountain,devildriver,1
2336,2336,864040,301608,Keep On Loving You,REO Speedwagon,1980,Top of the Pops,1964,(1981-05-07),Keep on Loving You,reo speedwagon,1
2348,2348,868023,385291,A Garden In The Rain (Digitally Remastered),The Four Aces,0,Carol,2015,,A Garden in the Rain,al alberts the four aces carroll gibbons james dyrenforth,1
2349,2349,868421,391192,The New Machine,Chris Whitley,2003,Chris Whitley: Scrapyard,2001,,New Machine,chris whitley,1
2363,2363,869483,198959,Sex Over the Phone,Village People,1985,Rude Tube,2008,Rom Dotcom (#6.3),Sex Over the Phone,jacques morali bruce vilanch fred zarr the village people,1
2376,2376,872892,517151,Ev'ry Time We Say Goodbye,Natalie Cole,2004,Lets Get Lost,1988,,Evry Time We Say Goodbye,cole porter,1
2409,2409,877657,343680,My Life Would Suck Without You ,Kelly Clarkson,2009,All I Ever Wanted: Bonus DVD,2009,,My Life Would Suck Without You,kelly clarkson,1
2434,2434,884763,327667,Down By The Ohio,Andrews Sisters,0,1941,1979,,Down by the Ohio,abe olman the andrews sisters,1
2441,2441,886495,158154,Babylon (Radio Mix 2),David Gray,0,Monkey Dust,2003,(#2.5),Babylon,david gray,1
2449,2449,889218,679447,With A Little Help From My Friends,Wet Wet Wet,1988,The Princes Trust Rock Gala,1988,,With a Little Help from my Friends,john lennon paul mccartney eric clapton mark knopfler nathan east elton john wet wet wet marti pellow graeme clark tom cunningham neil mitchell midge ures all star band phil collins brian may  ) howard jones rick astley colin vearncombe joe cocker the bee gees robin gibb  maurice gibb ) peter gabriel,1
2458,2458,892274,321239,Pencil Full Of Lead (Radio Edit),Paolo Nutini,2009,World Championship Snooker,1973,2015: Day 8  Part 1 (#43.39),Pencil Full of Lead,paolo nutini,1
2475,2475,897429,413586,What Do You Want From Me,Forever The Sickest Kids,2009,Diary of a Wimpy Kid,2010,,WHAT DO YOU WANT FROM ME,caleb turman austin bello jonathan cook kent garrison forever the sickest kids,1
2516,2516,905861,620489,Piano Sonata (moonlight) N.14 In C Sharp Minor Op.27 N.2 : Adagio Sostenuto,Ludwig van Beethoven,0,So This Is New York,1948,,Moonlight Sonata,ludwig van beethoven,1
2535,2535,913013,217841,Battlefield,Jordin Sparks,2009,So You Think You Can Dance,2005,Top Eight Perform (#5.18),Battlefield,jordin sparks,1
2549,2549,916882,592054,Andvari,Sigur RÌÎ_s,2005,Remember Me,2010,,Andvari,jon thor birgisson orri p. dyrason georg holm kjartan sveinsson sigur rÌÄÕ_s,1
2551,2551,917286,598671,Any Day Now,Ronnie Milsap,1982,Ronnie Milsap: Live,2002,,Any Day Now,bob hilliard burt bacharach ronnie milsap,1
2552,2552,917310,214337,We Built This City,Starship,1985,Skins,2007,Finale (#1.9),We Built This City,bernie taupin martin page dennis lambert pÌÄÕÌâå©ter wolf jefferson starship,1
2582,2582,925153,394433,Big News I (LP Version),Clutch,0,Clutch: Full Fathom Five,2008,,Big News I,clutch,1
2605,2605,928309,463649,Mima - Original,Eddie Harris,0,Happy Accidents,2000,,Mima,lalo schifrin eddie harris,1
2614,2614,929380,544013,Give Up The Funk (Tear The Roof Off The Sucker),Parliament,1975,Moneyball,2011,,Give Up The Funk (Tear The Roof Off The Sucker),george clinton   (as george clinton jr.) bootsy collins jerome brailey parliament,1
2627,2627,932136,411836,Be Bop A Lula,Gene Vincent,1984,Desert Hearts,1985,,BE BOP A LULA,gene vincent donald graves tex davis,1
2630,2630,933092,61020,Du Hast,Rammstein,1997,Daria,1997,Through a Lens Darkly (#3.2),Du Hast,rammstein,1
2634,2634,933791,201808,Sexual Revolution,Macy Gray,2001,Saturday Night Live,1975,Drew Barrymore/Macy Gray (#27.3),Sexual Revolution,macy gray,1
2641,2641,935974,214297,Sky Father,6 Day Riot,2008,Skins,2007,Emily (#4.2),Sky Father,6 day riot,1
2646,2646,937171,208868,Ice Cream,New Young Pony Club,2004,Shark,2006,In Absentia (#2.7),Ice Cream (Van She Remix),new young pony club,1
2647,2647,937310,231085,Not Nineteen Forever,The Courteeners,2008,T in the Park 2010,2010,Stereophonics/Paolo Nutini (#1.4),Not Ninteen Forever,the courteeners,1
2667,2667,942860,428522,Wonder,Megan McCauley,2005,Elektra,2005,,Wonder,megan rudloff will baker pete woodruff megan mccauley,1
2676,2676,944704,66545,CanÌÎå_ÌÎå£o Simples,Tiago Bettencourt,2007,Deixa-me Amar,2007,(#1.238),CanÌÄÕÌâå_ÌÄÕÌâå£o simples,tiago bettencourt,1
2716,2716,954944,262887,Sweet Lullaby,Deep Forest,1992,The Real World,1992,A Tribute to Pedro Zamora (#3.23),Sweet Lullaby,deep forest,1
2737,2737,961008,454183,Immune,Godsmack,1997,Godsmack: Smack This!,2002,,Immune,godsmack,1
2738,2738,961155,2139,I'm a Doggy,Marvin Pontiac,2001,24,2001,2:00 p.m.-3:00 p.m. (#1.15),Im A Doggy,marvin pontiac,1
2739,2739,961264,462088,Duke of Earl,Gene Chandler,1961,Hairspray,1988,,Duke of Earl,earl edwards gene chandler bernice williams,1
